cash,price_AAPL,price_AMZN,price_F,price_JPM,price_MSFT,price_NVDA,price_PG,price_SPY,price_UNH,price_XOM,shares_AAPL,shares_AMZN,shares_F,shares_JPM,shares_MSFT,shares_NVDA,shares_PG,shares_SPY,shares_UNH,shares_XOM,reward
0.0,38.61578369140625,75.89800262451172,7.746578693389893,89.36943054199219,87.10053253173828,5.571577072143555,59.85725402832031,236.67575073242188,209.24562072753903,56.65231323242188,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034770802594721317
0.0,38.16901779174805,78.63099670410156,7.787242412567139,88.8012466430664,88.54204559326172,5.5990376472473145,59.90663146972656,236.89797973632807,212.0263519287109,54.50139236450195,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011636963114142418
0.0,38.8603401184082,78.30650329589844,7.617807865142822,88.29798126220703,86.41673278808594,5.563661098480225,59.51991271972656,235.0760803222656,208.68946838378903,54.47335433959961,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017950061708688736
0.0,39.76331329345703,79.11299896240234,7.631363868713379,88.29798126220703,87.78431701660156,5.619075775146484,59.207252502441406,235.49371337890625,209.08670043945312,53.912864685058594,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022970514371991158
0.0,41.51985168457031,78.48400115966797,7.597476482391357,87.59991455078125,86.40750122070312,5.598543167114258,58.36803436279297,233.9117889404297,206.0941162109375,53.80777359008789,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04322695732116699
0.0,41.59510040283203,78.60399627685547,7.590697765350342,87.04794311523438,86.92499542236328,5.763795375823975,58.71359634399414,233.3963623046875,206.70318603515625,53.6256217956543,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018107148353010416
0.0,43.227012634277344,79.04750061035156,7.699138641357422,88.01390838623047,87.93218231201172,5.913957118988037,59.59397506713867,236.41798400878903,208.248046875,53.87784576416016,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038483209908008575
0.0,43.53975677490234,80.00700378417969,7.685582160949707,88.77690887451172,88.91165924072266,6.151939868927002,59.22371292114258,237.2178497314453,206.3765869140625,54.46636962890625,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007208877243101597
0.0,43.74902725219727,79.61949920654297,7.638143539428711,90.09188842773438,88.53279876708984,6.194490909576416,58.779422760009766,237.2178497314453,204.83169555664065,54.71158599853516,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047949086874723434
0.0,44.05708312988281,80.4000015258789,7.4958176612854,92.05622863769533,89.57698059082031,6.327582359313965,59.54460906982422,239.5108184814453,202.34230041503903,56.000732421875,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007016758434474468
0.0,44.68727111816406,80.4540023803711,7.597476482391357,92.77051544189452,90.47329711914062,6.435194969177246,60.18638229370117,241.75027465820312,206.31483459472656,57.25484085083008,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014202561229467392
0.0,44.517311096191406,80.14550018310547,7.583920478820801,92.4214859008789,90.27924346923828,6.296659469604492,60.36736679077149,242.4879608154297,210.34909057617188,57.52379608154297,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003810571739450097
0.0,44.4134521484375,80.0770034790039,7.577143669128418,92.45396423339844,90.58419036865234,6.317193984985352,60.29332733154297,242.60354614257807,214.42755126953125,57.91302108764648,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023357269819825888
0.0,44.00979995727539,78.80599975585938,7.60425329208374,91.74776458740234,89.92810821533203,6.074756622314453,60.02180862426758,240.93276977539065,211.4260711669922,57.88471984863281,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009130064398050308
0.0,44.420528411865234,79.36399841308594,7.726247787475586,91.9993896484375,90.1601333618164,6.085888862609863,60.49900817871094,241.94583129882807,213.38589477539065,58.04750442504883,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009289379231631756
0.0,44.13964080810547,79.08799743652344,7.766910076141357,91.69092559814452,89.25993347167969,6.127944469451904,60.85282516479492,241.741439819336,214.48049926757807,57.94841766357422,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006343450862914324
0.0,43.979103088378906,78.71849822998047,7.678804874420166,90.20548248291016,89.4269790649414,6.084156513214111,60.43318939208984,241.1371307373047,215.9635772705078,57.53792953491211,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036436719819903374
0.0,44.290714263916016,79.27300262451172,7.800798416137695,91.03346252441406,90.57775115966795,6.0421013832092285,60.93510055541992,242.9501037597656,218.84146118164065,58.23151016235352,118.56945282138825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007060453295707703
